时间,进水流量(m3/h),进水COD(mg/L),进水NH3-N(mg/L),进水TN(mg/L),进水TP(mg/L),曝气池DO(mg/L),SV30(%),MLSS(mg/L),TMP(kPa),出水COD(mg/L),出水NH3-N(mg/L),出水TN(mg/L),出水TP(mg/L),电耗(kWh/h),药耗(kg/h)
2026-06-08 16:00:00,1014.8,389.2,33.2,50.0,5.32,1.61,21.0,3604.0,6.7,9.4,0.421,4.67,0.093,741.7,15.6
2026-06-08 17:00:00,891.4,310.1,41.5,61.5,4.88,1.57,24.2,3376.0,5.75,9.9,0.433,4.96,0.088,746.5,14.7
2026-06-08 18:00:00,996.9,376.5,35.9,57.7,4.74,2.06,23.3,3521.0,6.71,9.5,0.413,4.74,0.103,781.1,15.0
2026-06-08 19:00:00,1100.0,342.8,32.8,51.5,3.89,2.04,22.8,3248.0,4.26,7.4,0.397,3.98,0.09,782.5,16.0
2026-06-08 20:00:00,1066.4,349.0,34.2,53.9,5.23,1.85,17.7,3495.0,5.63,9.1,0.403,3.63,0.098,804.7,15.8
2026-06-08 21:00:00,863.4,348.7,35.9,55.4,5.24,1.94,26.9,3378.0,6.64,10.4,0.383,4.77,0.064,768.9,14.0
2026-06-08 22:00:00,912.9,511.6,31.3,50.3,5.05,2.39,27.9,3288.0,4.62,9.4,0.418,5.08,0.096,787.4,14.0
2026-06-08 23:00:00,883.4,349.4,36.5,56.8,4.94,1.98,27.1,3292.0,7.72,6.5,0.403,4.74,0.102,662.6,13.4
2026-06-09 00:00:00,806.9,393.7,41.3,61.5,4.9,2.05,26.7,3489.0,5.39,8.0,0.47,4.2,0.088,710.7,14.4
2026-06-09 01:00:00,581.1,335.4,33.6,57.0,4.88,1.53,33.1,3255.0,4.28,9.3,0.369,5.25,0.066,676.5,9.1
2026-06-09 02:00:00,771.0,378.9,41.9,59.3,5.03,1.76,32.7,3195.0,6.08,8.8,0.416,5.31,0.083,760.6,14.3
2026-06-09 03:00:00,945.0,396.8,34.3,53.7,5.13,1.97,31.1,3319.0,3.0,11.1,0.426,6.15,0.084,811.7,14.4
2026-06-09 04:00:00,810.6,514.8,39.2,61.3,5.65,1.92,33.7,3281.0,4.79,9.6,0.428,6.52,0.11,759.3,13.3
2026-06-09 05:00:00,710.2,312.8,27.7,48.0,5.34,1.91,33.7,3238.0,3.44,7.9,0.454,4.61,0.098,772.5,14.1
2026-06-09 06:00:00,948.0,264.4,37.0,57.8,5.05,1.77,34.6,3456.0,4.42,8.7,0.381,6.2,0.102,768.5,12.9
2026-06-09 07:00:00,880.1,329.4,28.5,47.5,4.16,1.94,32.9,3583.0,4.77,7.8,0.398,5.67,0.092,774.8,15.3
2026-06-09 08:00:00,818.6,434.2,32.8,55.2,4.76,1.34,31.7,3533.0,3.45,12.0,0.421,5.39,0.128,708.6,16.5
2026-06-09 09:00:00,927.7,401.7,39.1,58.9,5.89,1.94,30.1,3393.0,3.7,10.8,0.431,5.6,0.106,796.9,11.6
2026-06-09 10:00:00,888.5,344.4,40.0,62.1,5.33,1.99,30.3,3522.0,4.96,11.2,0.448,4.95,0.083,757.6,12.6
2026-06-09 11:00:00,985.9,350.6,31.2,48.7,5.93,1.66,29.4,3106.0,3.58,11.3,0.41,4.39,0.108,812.0,14.4
2026-06-09 12:00:00,925.1,351.2,33.5,52.2,4.37,1.56,28.8,3367.0,3.75,12.2,0.431,5.46,0.11,763.9,15.2
2026-06-09 13:00:00,946.0,379.6,39.9,60.8,5.7,1.96,28.2,3369.0,3.48,11.0,0.435,6.59,0.142,762.4,12.2
2026-06-09 14:00:00,928.4,339.3,32.4,51.3,5.79,2.27,26.5,3483.0,4.03,12.2,0.449,5.59,0.127,720.7,13.5
2026-06-09 15:00:00,1100.0,358.0,41.0,62.7,8.62,2.04,23.6,3362.0,3.97,11.6,0.473,4.9,0.104,787.6,16.6
2026-06-09 16:00:00,900.5,371.5,32.5,49.3,4.85,2.11,20.7,3191.0,4.09,14.4,0.494,6.64,0.131,809.2,12.9
2026-06-09 17:00:00,876.1,343.1,45.3,63.9,5.51,2.06,21.1,3340.0,3.58,12.9,0.468,6.72,0.133,726.6,13.3
2026-06-09 18:00:00,1100.0,343.0,31.6,55.3,4.55,2.11,20.4,3701.0,3.39,13.7,0.462,6.43,0.119,766.5,13.5
2026-06-09 19:00:00,1100.0,345.8,47.0,66.9,4.94,1.96,20.3,3451.0,3.97,12.7,0.476,7.42,0.154,860.3,14.2
2026-06-09 20:00:00,983.0,266.5,30.9,51.9,3.9,1.91,23.3,3382.0,3.98,14.6,0.483,6.61,0.137,789.5,13.6
2026-06-09 21:00:00,905.3,370.8,40.3,62.4,5.01,2.1,24.9,3266.0,3.13,14.0,0.477,7.08,0.137,726.7,11.5
2026-06-09 22:00:00,951.0,407.8,28.0,46.4,5.96,1.8,23.5,3622.0,3.0,14.8,0.487,7.68,0.117,750.3,12.3
2026-06-09 23:00:00,744.3,327.9,63.7,85.6,5.73,1.91,30.5,3681.0,3.09,13.9,0.481,8.24,0.167,752.0,12.1
2026-06-10 00:00:00,824.4,445.1,38.2,59.0,4.97,1.64,27.0,3208.0,3.95,13.4,0.484,8.29,0.136,742.0,15.7
2026-06-10 01:00:00,638.3,341.3,42.6,65.6,4.88,1.78,27.7,3440.0,3.63,14.2,0.438,7.79,0.166,755.4,12.6
2026-06-10 02:00:00,749.9,396.1,30.8,50.2,5.13,1.98,29.8,3350.0,3.69,15.2,0.461,7.83,0.172,704.6,13.0
2026-06-10 03:00:00,830.0,285.8,37.1,55.1,5.35,2.08,29.0,3528.0,4.45,15.4,0.503,7.74,0.157,821.6,11.7
2026-06-10 04:00:00,799.2,400.2,33.7,51.1,5.18,1.68,31.8,3706.0,5.95,15.7,0.485,8.27,0.159,764.7,12.8
2026-06-10 05:00:00,761.0,342.5,36.7,56.1,5.93,1.71,34.8,3264.0,3.62,14.9,0.488,6.39,0.146,795.8,11.1
2026-06-10 06:00:00,931.1,318.5,37.7,61.0,4.59,1.81,32.9,3731.0,4.73,15.1,0.498,7.66,0.14,780.6,14.1
2026-06-10 07:00:00,958.9,367.1,30.9,46.2,4.22,2.39,33.7,3453.0,3.61,15.0,0.47,6.7,0.134,728.0,13.0
2026-06-10 08:00:00,788.0,411.8,28.0,47.9,5.25,1.74,35.0,3405.0,3.71,14.7,0.503,7.18,0.166,771.0,13.0
2026-06-10 09:00:00,937.6,604.4,30.9,48.8,5.77,1.57,33.6,3462.0,4.81,15.6,0.502,6.96,0.162,722.6,13.3
2026-06-10 10:00:00,891.2,342.9,37.6,59.3,3.75,2.14,28.6,3686.0,3.84,15.4,0.501,7.67,0.149,760.6,15.5
2026-06-10 11:00:00,920.8,339.6,36.9,53.9,5.77,1.59,30.3,3759.0,5.5,13.9,0.525,6.96,0.152,783.8,14.0
2026-06-10 12:00:00,964.4,362.5,40.5,55.9,4.33,2.05,25.9,3580.0,4.13,13.3,0.507,8.39,0.139,789.4,12.4
2026-06-10 13:00:00,875.3,420.9,37.8,58.5,4.27,1.75,27.7,3825.0,5.72,15.4,0.437,7.81,0.152,781.0,12.7
2026-06-10 14:00:00,841.8,388.5,36.4,52.3,4.36,1.98,22.5,3753.0,5.25,14.6,0.515,7.28,0.159,763.7,13.5
2026-06-10 15:00:00,1036.4,389.4,39.3,60.3,4.41,2.17,20.5,3719.0,5.82,12.9,0.491,7.3,0.144,750.1,16.7
2026-06-10 16:00:00,923.5,428.3,38.6,59.0,4.66,2.11,26.3,3383.0,7.22,14.9,0.476,5.98,0.127,823.0,15.8
2026-06-10 17:00:00,863.7,316.5,35.3,59.6,4.87,2.08,21.1,3653.0,6.78,16.2,0.472,6.17,0.136,750.3,13.4
2026-06-10 18:00:00,1067.3,343.9,29.2,50.2,5.65,2.23,22.9,3586.0,4.66,12.6,0.455,7.11,0.154,792.8,14.6
2026-06-10 19:00:00,1100.0,403.1,32.4,55.0,5.12,1.77,24.5,3549.0,6.17,13.0,0.462,5.99,0.137,832.5,15.8
2026-06-10 20:00:00,951.4,282.3,30.5,53.0,4.63,2.18,25.3,3825.0,6.25,14.1,0.458,7.59,0.146,815.9,14.4
2026-06-10 21:00:00,880.1,325.7,37.7,56.6,5.49,1.91,23.3,3747.0,5.26,14.4,0.465,6.33,0.133,788.5,15.2
2026-06-10 22:00:00,905.0,302.3,41.6,59.4,4.8,2.12,23.9,4043.0,5.77,13.2,0.447,6.27,0.164,818.0,12.9
2026-06-10 23:00:00,839.0,351.7,39.5,61.1,5.23,1.96,23.5,3710.0,8.06,13.5,0.481,6.34,0.087,752.8,12.7
2026-06-11 00:00:00,820.6,344.3,33.6,52.5,4.34,1.76,28.4,3597.0,5.48,11.7,0.466,5.48,0.132,741.8,14.6
2026-06-11 01:00:00,618.5,315.2,39.5,61.0,5.27,1.91,28.6,3412.0,7.24,13.2,0.439,6.28,0.114,716.4,11.3
2026-06-11 02:00:00,788.7,369.7,37.2,57.4,5.11,2.14,34.4,3592.0,7.24,10.7,0.451,5.57,0.115,716.8,12.5
2026-06-11 03:00:00,935.9,401.4,37.5,56.6,4.97,1.92,33.3,3371.0,9.37,14.1,0.442,4.96,0.129,793.4,14.6
2026-06-11 04:00:00,790.3,322.7,34.6,51.8,5.08,1.95,34.3,3815.0,7.66,8.9,0.439,6.82,0.112,739.3,13.0
2026-06-11 05:00:00,689.9,322.9,36.0,58.8,5.22,1.82,34.0,3639.0,5.69,11.1,0.438,5.61,0.105,736.2,13.2
2026-06-11 06:00:00,943.7,343.2,40.3,59.2,5.28,2.14,32.8,3465.0,7.71,9.0,0.429,6.31,0.106,733.5,15.8
2026-06-11 07:00:00,878.5,353.5,31.0,54.9,5.7,1.73,36.2,3803.0,9.39,13.1,0.43,4.51,0.088,780.4,16.0
2026-06-11 08:00:00,804.1,424.0,33.9,49.8,5.36,2.02,34.5,3262.0,8.01,10.7,0.425,5.32,0.118,736.8,11.4
2026-06-11 09:00:00,906.8,395.5,35.0,58.5,5.47,1.57,30.4,3387.0,8.84,10.9,0.433,6.17,0.066,753.5,14.9
2026-06-11 10:00:00,903.3,354.8,25.2,43.0,8.32,2.02,31.3,3656.0,9.46,10.1,0.408,4.66,0.091,825.1,13.1
2026-06-11 11:00:00,826.5,567.7,37.0,58.9,5.66,1.89,30.4,3813.0,9.01,9.4,0.401,5.11,0.069,739.9,12.7
2026-06-11 12:00:00,885.8,322.2,39.1,59.2,4.96,1.96,26.6,3587.0,8.82,9.9,0.429,3.78,0.093,724.8,14.9
2026-06-11 13:00:00,832.7,338.3,35.4,56.0,6.12,1.7,27.4,3554.0,9.29,8.0,0.421,4.06,0.108,706.7,12.3
2026-06-11 14:00:00,872.0,373.6,41.8,63.2,4.42,2.04,24.0,3551.0,8.62,9.2,0.443,4.96,0.096,740.1,12.9
2026-06-11 15:00:00,1000.7,309.6,51.4,73.8,5.67,2.06,26.3,3351.0,9.56,9.3,0.402,5.58,0.098,758.7,15.8
2026-06-11 16:00:00,955.4,342.0,40.2,60.1,5.74,2.31,24.6,3594.0,9.51,7.6,0.383,4.32,0.089,778.9,15.3
2026-06-11 17:00:00,882.7,391.9,29.3,50.9,5.25,2.05,23.5,3245.0,9.81,10.4,0.397,4.33,0.096,767.5,14.7
2026-06-11 18:00:00,962.8,354.6,60.0,79.0,4.85,1.91,23.2,3395.0,9.06,11.3,0.41,5.55,0.095,874.0,18.2
2026-06-11 19:00:00,1100.0,336.8,37.0,59.5,5.05,2.02,25.3,3594.0,10.25,10.1,0.377,4.97,0.093,838.9,17.6
2026-06-11 20:00:00,986.9,374.9,31.1,49.2,4.1,2.09,22.0,3381.0,11.27,9.1,0.401,4.7,0.092,730.3,11.8
2026-06-11 21:00:00,961.3,434.0,30.7,50.1,4.96,2.26,22.0,3218.0,10.37,8.2,0.371,3.93,0.122,750.7,14.1
2026-06-11 22:00:00,971.8,398.0,41.3,60.3,3.96,1.82,24.6,3539.0,10.3,9.1,0.438,3.84,0.078,741.2,15.7
2026-06-11 23:00:00,829.3,327.3,32.6,53.1,4.52,1.85,27.3,3577.0,11.62,8.3,0.417,5.62,0.105,721.5,12.7
2026-06-12 00:00:00,835.6,381.8,39.4,59.1,5.26,2.02,27.2,3417.0,11.07,8.4,0.368,5.25,0.077,747.2,11.1
2026-06-12 01:00:00,565.2,437.5,38.7,56.5,5.67,1.55,26.4,3287.0,11.07,9.4,0.409,4.58,0.11,810.3,11.2
2026-06-12 02:00:00,708.7,384.3,34.4,50.1,5.08,1.97,29.8,3434.0,10.09,9.2,0.448,4.5,0.093,738.7,13.6
2026-06-12 03:00:00,954.0,297.3,34.3,54.2,5.33,2.13,28.6,3341.0,10.32,9.6,0.389,5.28,0.105,816.1,12.2
2026-06-12 04:00:00,838.9,379.3,30.3,47.1,5.42,1.96,33.9,3236.0,10.62,9.6,0.393,5.2,0.116,775.5,12.0
2026-06-12 05:00:00,667.2,327.9,38.2,58.3,5.53,2.45,37.9,3249.0,9.42,9.2,0.385,5.18,0.09,769.2,13.2
2026-06-12 06:00:00,919.9,397.5,35.0,57.2,4.58,2.15,36.3,3205.0,12.22,8.7,0.408,4.6,0.12,787.0,12.3
2026-06-12 07:00:00,891.1,294.8,36.5,59.0,6.31,1.84,32.4,3356.0,10.15,9.5,0.446,4.87,0.112,811.7,16.4
2026-06-12 08:00:00,742.4,344.7,29.5,48.4,5.0,2.26,36.2,3259.0,10.42,11.0,0.423,5.63,0.121,784.1,15.9
2026-06-12 09:00:00,883.9,363.6,29.5,48.6,5.13,1.93,32.2,3257.0,10.7,11.0,0.44,5.81,0.121,784.4,13.5
2026-06-12 10:00:00,899.7,362.7,39.6,59.0,5.95,1.88,32.1,3296.0,9.0,11.6,0.43,6.34,0.119,776.8,14.5
2026-06-12 11:00:00,920.8,365.5,38.6,57.2,5.26,1.99,28.1,3180.0,10.63,14.4,0.431,5.42,0.107,778.4,15.6
2026-06-12 12:00:00,1009.4,337.9,33.6,52.1,4.67,2.04,26.7,3370.0,9.91,12.3,0.467,6.34,0.109,723.8,15.5
2026-06-12 13:00:00,880.4,344.2,32.4,51.1,6.19,2.06,24.5,3563.0,9.37,13.2,0.439,6.08,0.118,794.4,15.3
2026-06-12 14:00:00,894.5,353.7,31.7,51.0,4.84,2.12,24.7,3562.0,11.03,12.1,0.464,6.93,0.116,730.6,14.1
2026-06-12 15:00:00,1100.0,399.4,34.1,55.1,4.37,2.23,21.2,3419.0,10.32,12.5,0.413,7.05,0.13,776.0,14.8
2026-06-12 16:00:00,1054.1,367.0,32.3,49.9,4.93,2.01,21.3,3396.0,8.28,14.6,0.447,6.38,0.134,777.3,13.8
2026-06-12 17:00:00,847.7,387.4,37.3,56.4,4.82,2.0,24.5,3367.0,9.96,14.8,0.503,5.71,0.148,811.6,16.3
2026-06-12 18:00:00,1077.6,332.0,32.6,48.9,9.5,2.11,22.0,3475.0,8.81,14.8,0.502,6.48,0.135,760.0,14.8
2026-06-12 19:00:00,1100.0,287.4,39.0,60.9,5.78,2.27,27.9,3386.0,9.18,15.5,0.49,6.18,0.13,787.3,14.2
2026-06-12 20:00:00,1009.8,433.5,36.6,54.5,5.58,2.04,24.1,3325.0,7.98,14.5,0.486,7.31,0.157,819.0,15.3
2026-06-12 21:00:00,972.0,379.1,28.8,49.0,7.72,2.02,22.8,3581.0,9.4,11.4,0.484,7.69,0.105,772.3,14.6
2026-06-12 22:00:00,864.6,367.7,41.4,59.4,5.38,1.91,24.7,3394.0,9.13,14.3,0.461,8.5,0.141,768.5,13.5
2026-06-12 23:00:00,800.9,370.3,38.3,60.9,5.41,1.83,29.3,3466.0,8.47,15.2,0.508,7.89,0.152,783.2,13.9
2026-06-13 00:00:00,839.4,264.5,35.4,54.9,4.97,2.0,28.8,3573.0,8.11,14.1,0.506,7.62,0.15,704.2,11.9
2026-06-13 01:00:00,516.9,412.0,36.6,57.0,4.47,1.92,30.5,3559.0,9.73,14.5,0.494,7.94,0.144,734.6,12.6
2026-06-13 02:00:00,693.7,354.3,33.2,53.2,4.68,1.97,31.6,3481.0,6.83,13.6,0.504,7.78,0.165,762.1,14.2
2026-06-13 03:00:00,916.4,295.7,34.8,51.7,5.45,1.92,29.5,3598.0,9.7,12.5,0.499,6.9,0.156,788.2,16.6
2026-06-13 04:00:00,774.5,326.2,36.4,57.4,5.01,2.21,31.5,3447.0,7.57,15.3,0.494,7.89,0.161,718.6,13.6
2026-06-13 05:00:00,679.4,387.0,36.8,54.6,3.18,2.04,33.6,3403.0,8.66,13.4,0.479,7.33,0.172,769.4,11.3
2026-06-13 06:00:00,789.3,477.8,24.6,46.6,6.2,2.04,36.4,3641.0,7.15,13.2,0.488,7.8,0.172,765.1,11.0
2026-06-13 07:00:00,809.0,365.2,34.5,54.4,5.39,2.24,31.0,3489.0,7.28,16.2,0.466,7.17,0.148,750.3,13.3
2026-06-13 08:00:00,683.3,359.4,36.5,58.2,7.82,1.7,33.7,3652.0,9.24,15.3,0.492,6.73,0.16,755.6,14.7
2026-06-13 09:00:00,789.6,344.4,32.0,54.0,4.92,1.75,34.4,3593.0,6.51,14.3,0.51,8.31,0.148,781.1,13.9
2026-06-13 10:00:00,808.4,361.5,38.8,57.1,5.5,1.99,34.4,3733.0,6.88,14.8,0.474,7.21,0.149,779.4,15.3
2026-06-13 11:00:00,818.7,347.4,28.1,45.4,4.75,1.93,30.6,3433.0,5.74,14.0,0.515,6.77,0.147,744.7,12.5
2026-06-13 12:00:00,916.7,289.5,30.5,46.1,4.93,2.37,29.6,3543.0,6.94,13.8,0.5,7.17,0.144,716.8,14.4
2026-06-13 13:00:00,810.7,389.5,41.5,59.0,5.53,2.05,25.3,3521.0,6.12,15.5,0.462,6.26,0.166,751.2,12.7
2026-06-13 14:00:00,872.1,325.8,35.5,54.3,4.57,2.08,25.8,3714.0,6.34,14.0,0.494,7.86,0.143,749.6,14.4
2026-06-13 15:00:00,1014.9,565.1,35.1,51.8,4.33,1.8,23.1,3796.0,6.17,14.1,0.493,7.29,0.158,767.4,15.9
2026-06-13 16:00:00,860.2,409.3,41.4,64.6,3.48,2.22,22.3,3732.0,5.5,16.5,0.478,6.37,0.176,732.0,15.1
2026-06-13 17:00:00,845.9,331.9,35.1,55.8,5.64,1.65,24.3,3830.0,6.6,13.0,0.489,6.45,0.144,755.7,11.0
2026-06-13 18:00:00,944.1,351.4,32.2,52.3,3.51,1.91,21.4,3624.0,4.34,13.0,0.486,7.03,0.137,742.3,14.8
2026-06-13 19:00:00,1039.0,470.7,34.4,51.8,5.11,2.27,20.9,3617.0,5.43,12.8,0.485,6.26,0.154,790.8,15.8
2026-06-13 20:00:00,889.5,334.7,30.4,53.7,6.26,2.16,25.1,3557.0,5.33,14.9,0.453,7.24,0.124,817.5,13.6
2026-06-13 21:00:00,835.2,314.2,34.8,56.4,4.93,1.85,25.7,3799.0,5.78,12.6,0.476,6.71,0.125,788.3,14.2
2026-06-13 22:00:00,791.1,440.1,26.1,45.8,3.82,2.38,27.8,3570.0,5.9,11.5,0.433,7.6,0.127,767.1,14.0
2026-06-13 23:00:00,742.5,379.1,35.3,54.9,5.27,1.82,24.2,3765.0,4.34,12.5,0.451,6.27,0.122,739.8,12.4
2026-06-14 00:00:00,843.3,299.2,30.8,58.4,4.65,1.6,24.8,3651.0,4.52,10.6,0.443,6.68,0.135,764.9,14.1
2026-06-14 01:00:00,536.8,384.0,32.4,66.0,4.39,1.8,31.5,3665.0,3.6,9.7,0.445,6.3,0.126,666.3,12.9
2026-06-14 02:00:00,696.5,323.9,34.5,55.8,4.91,1.78,26.1,3393.0,5.59,12.0,0.456,6.52,0.131,706.2,13.0
2026-06-14 03:00:00,828.6,424.2,38.1,54.7,4.88,2.2,31.4,3803.0,3.35,12.6,0.464,5.55,0.091,720.1,15.1
2026-06-14 04:00:00,782.5,367.3,37.4,59.8,5.11,1.85,31.7,3934.0,5.15,13.1,0.426,6.2,0.109,753.8,14.6
2026-06-14 05:00:00,596.8,416.2,33.5,53.9,4.97,2.03,29.6,3394.0,4.59,11.4,0.432,5.71,0.12,714.6,16.1
2026-06-14 06:00:00,728.2,395.3,34.1,51.9,3.66,2.05,32.6,3619.0,4.24,11.0,0.422,5.81,0.116,766.4,17.9
2026-06-14 07:00:00,763.1,364.1,35.3,56.2,5.67,2.08,33.9,3156.0,4.27,10.7,0.432,5.13,0.102,839.0,13.7
2026-06-14 08:00:00,742.5,332.4,36.1,59.2,5.03,2.02,32.3,3240.0,4.5,11.2,0.42,6.28,0.112,744.3,13.1
2026-06-14 09:00:00,782.7,333.3,34.4,55.6,4.54,2.07,33.4,3389.0,3.32,11.9,0.383,4.58,0.065,752.4,11.6
2026-06-14 10:00:00,763.4,372.5,39.9,59.5,4.48,2.18,31.2,3360.0,3.47,9.7,0.428,5.91,0.098,736.0,16.2
2026-06-14 11:00:00,742.0,350.3,36.8,56.0,4.68,1.96,26.4,3582.0,4.36,9.8,0.408,5.03,0.1,789.9,12.1
2026-06-14 12:00:00,813.3,375.5,34.8,53.1,5.04,1.97,26.5,3572.0,4.29,9.5,0.409,5.75,0.105,737.5,16.5
2026-06-14 13:00:00,874.2,343.0,30.6,51.6,5.18,1.66,28.5,3498.0,3.98,8.5,0.417,5.02,0.07,775.3,10.9
2026-06-14 14:00:00,801.3,319.3,33.7,52.9,5.1,2.01,21.3,3433.0,3.0,11.3,0.458,4.31,0.087,734.7,14.0
2026-06-14 15:00:00,1077.3,390.2,32.5,52.1,5.56,2.13,22.6,3552.0,3.0,11.0,0.393,3.53,0.089,791.9,10.9
2026-06-14 16:00:00,792.8,378.1,38.7,54.2,8.9,2.21,24.5,3120.0,3.64,8.9,0.365,4.34,0.077,807.3,14.7
2026-06-14 17:00:00,785.2,348.7,34.7,58.3,3.69,2.32,23.7,3480.0,4.14,8.9,0.398,4.73,0.095,696.6,12.2
2026-06-14 18:00:00,979.2,338.1,35.7,58.7,5.92,1.88,23.1,3580.0,3.34,9.8,0.422,3.1,0.105,766.7,12.8
2026-06-14 19:00:00,1064.0,317.4,34.2,57.6,5.45,2.31,22.0,3417.0,3.0,8.2,0.376,3.93,0.084,786.3,17.8
2026-06-14 20:00:00,898.2,373.0,38.8,59.9,5.21,1.93,22.3,3261.0,4.13,9.5,0.408,5.24,0.09,810.8,16.2
2026-06-14 21:00:00,773.3,362.9,41.7,63.0,4.77,1.67,24.7,3338.0,3.11,9.9,0.404,4.55,0.107,744.7,15.3
2026-06-14 22:00:00,801.5,410.6,36.0,56.1,5.73,1.94,22.8,3257.0,4.55,9.0,0.432,4.66,0.084,760.1,12.7
2026-06-14 23:00:00,736.5,447.6,31.9,53.3,3.94,1.81,25.0,3180.0,3.54,9.3,0.384,4.57,0.102,786.8,12.8
2026-06-15 00:00:00,796.5,354.5,36.9,54.5,4.99,1.88,27.5,3336.0,4.52,10.2,0.394,4.37,0.109,760.9,12.8
2026-06-15 01:00:00,565.1,342.4,38.4,60.8,3.88,1.71,30.4,3235.0,3.9,10.1,0.389,4.81,0.098,713.6,11.6
2026-06-15 02:00:00,767.7,370.0,20.3,40.9,6.0,1.95,30.0,3437.0,3.73,11.8,0.411,4.18,0.099,721.3,12.7
2026-06-15 03:00:00,911.3,301.8,31.5,50.7,4.78,1.9,33.9,3301.0,3.0,8.7,0.418,5.17,0.081,754.2,12.6
2026-06-15 04:00:00,798.2,370.9,37.0,53.6,5.31,1.89,34.1,3212.0,3.53,8.9,0.411,5.63,0.133,757.0,12.1
2026-06-15 05:00:00,708.5,340.8,22.6,43.5,4.84,1.74,36.2,3414.0,3.52,8.3,0.38,5.15,0.098,744.5,13.9
2026-06-15 06:00:00,934.4,307.4,30.6,48.3,9.02,2.23,34.3,3385.0,4.01,11.2,0.454,4.39,0.099,727.8,14.2
2026-06-15 07:00:00,906.2,408.9,39.8,63.3,3.63,1.94,33.9,3084.0,3.75,11.7,0.423,5.2,0.103,752.8,14.2
2026-06-15 08:00:00,786.4,325.9,32.7,53.8,4.6,1.89,33.4,3412.0,4.01,12.1,0.436,4.87,0.099,810.5,12.6
2026-06-15 09:00:00,871.4,359.0,41.9,62.3,5.51,1.94,32.1,3153.0,3.02,11.5,0.42,5.75,0.104,759.0,11.5
2026-06-15 10:00:00,827.4,393.6,38.8,57.7,4.66,2.16,29.5,3408.0,5.08,9.4,0.47,5.52,0.095,753.1,15.4
2026-06-15 11:00:00,839.3,402.1,34.5,55.5,4.88,1.77,27.8,3214.0,4.03,14.1,0.44,5.96,0.14,751.9,13.7
2026-06-15 12:00:00,902.6,361.2,28.6,47.6,4.33,2.07,29.7,3475.0,6.69,12.6,0.458,6.79,0.09,717.7,14.9
2026-06-15 13:00:00,826.3,321.8,31.4,50.1,5.4,2.16,28.9,3422.0,5.94,9.8,0.48,5.6,0.13,719.0,15.3
2026-06-15 14:00:00,733.0,345.5,35.7,53.3,6.21,1.9,27.5,3336.0,5.28,13.1,0.449,5.68,0.132,804.4,12.8
2026-06-15 15:00:00,1014.1,325.6,35.8,51.4,5.87,2.27,20.6,3228.0,5.75,11.9,0.482,6.11,0.115,750.1,13.1
2026-06-15 16:00:00,974.6,347.1,41.3,60.5,4.48,1.91,24.7,3279.0,5.51,13.4,0.488,5.97,0.142,718.0,15.4
2026-06-15 17:00:00,783.7,355.2,34.9,57.1,4.79,1.65,26.4,3320.0,5.77,13.5,0.483,8.24,0.142,725.5,13.8
2026-06-15 18:00:00,923.2,357.6,36.5,56.4,5.42,2.13,23.7,3581.0,5.71,13.9,0.477,8.38,0.111,762.6,16.8
2026-06-15 19:00:00,1100.0,332.4,41.7,60.5,4.17,2.18,22.0,3520.0,6.65,11.8,0.489,6.52,0.153,793.7,15.8
2026-06-15 20:00:00,881.5,320.6,36.9,59.5,5.58,2.09,25.7,3379.0,5.64,12.4,0.49,7.15,0.104,736.3,14.3
2026-06-15 21:00:00,781.7,301.4,32.7,56.4,5.45,1.78,25.1,3621.0,4.86,14.6,0.49,5.48,0.124,787.3,13.0
2026-06-15 22:00:00,892.4,411.7,38.2,55.4,4.31,2.03,23.3,3625.0,7.01,16.5,0.502,6.86,0.128,713.2,12.9
2026-06-15 23:00:00,792.6,339.1,34.0,51.5,5.26,2.0,27.9,3352.0,5.71,17.0,0.481,7.02,0.156,740.4,11.3
2026-06-16 00:00:00,807.9,349.1,30.1,51.4,5.52,1.67,30.3,3289.0,8.78,16.1,0.491,6.98,0.146,781.2,14.5
2026-06-16 01:00:00,558.3,410.6,38.3,60.9,5.07,1.58,31.2,3547.0,7.61,14.9,0.528,8.21,0.168,744.2,12.2
2026-06-16 02:00:00,699.7,337.5,35.7,55.5,5.26,1.93,30.2,3610.0,7.6,14.6,0.473,8.01,0.156,741.5,11.5
2026-06-16 03:00:00,944.7,386.6,33.0,70.0,4.68,1.93,33.2,3479.0,8.72,13.1,0.461,7.55,0.126,760.1,14.4
2026-06-16 04:00:00,844.1,246.3,30.3,52.1,5.09,1.42,31.1,3625.0,7.3,16.7,0.465,7.81,0.146,703.9,12.0
2026-06-16 05:00:00,637.6,373.8,28.1,48.9,4.92,1.86,34.9,3816.0,7.97,13.8,0.485,9.06,0.146,709.7,13.7
2026-06-16 06:00:00,909.1,287.0,56.5,75.5,5.17,1.92,33.9,3583.0,7.82,15.4,0.495,8.17,0.128,737.8,13.4
2026-06-16 07:00:00,878.6,309.5,32.1,55.0,4.15,1.82,34.0,3474.0,8.59,15.9,0.475,7.87,0.144,772.1,15.0
2026-06-16 08:00:00,747.3,353.8,30.6,48.8,4.38,2.15,32.0,3309.0,7.82,13.9,0.489,7.09,0.154,749.6,13.6
2026-06-16 09:00:00,878.5,410.8,31.8,54.4,4.85,2.24,30.6,3733.0,10.22,14.0,0.484,7.34,0.149,751.7,16.5
